▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.182:3000
- Environments: .env.local
✓ Ready in 917ms
✓ Running next.config.mjs took 40ms

○ Compiling / ...
 HEAD / 200 in 14.1s (next.js: 4.4s, proxy.ts: 379ms, application-code: 9.3s)
 HEAD / 200 in 13.7s (next.js: 4.3s, proxy.ts: 64ms, application-code: 9.3s)
 HEAD / 200 in 14.1s (next.js: 4.6s, proxy.ts: 220ms, application-code: 9.3s)
 HEAD / 200 in 14.1s (next.js: 4.5s, proxy.ts: 381ms, application-code: 9.3s)
 HEAD / 200 in 14.1s (next.js: 4.6s, proxy.ts: 248ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.6s, proxy.ts: 235ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.6s, proxy.ts: 237ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.6s, proxy.ts: 249ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 243ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 251ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 253ms, application-code: 9.2s)
 HEAD / 200 in 10.7s (next.js: 1552ms, proxy.ts: 11ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 255ms, application-code: 9.2s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 240ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 258ms, application-code: 9.1s)
 HEAD / 200 in 10.7s (next.js: 1595ms, proxy.ts: 10ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.8s, proxy.ts: 261ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.8s, proxy.ts: 246ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.8s, proxy.ts: 262ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.7s, proxy.ts: 381ms, application-code: 9.1s)
 HEAD / 200 in 14.1s (next.js: 4.8s, proxy.ts: 264ms, application-code: 9.1s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 271ms, application-code: 9.1s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 273ms, application-code: 9.1s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 277ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 279ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 281ms, application-code: 9.0s)
 HEAD / 200 in 10.7s (next.js: 1636ms, proxy.ts: 11ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 412ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 383ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 385ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 387ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 389ms, application-code: 9.0s)
 HEAD / 200 in 14.2s (next.js: 4.8s, proxy.ts: 391ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 393ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 394ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 395ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 397ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 398ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 400ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 402ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 405ms, application-code: 8.9s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 408ms, application-code: 8.8s)
 HEAD / 200 in 14.2s (next.js: 4.9s, proxy.ts: 409ms, application-code: 8.8s)
 HEAD / 200 in 14.2s (next.js: 5.0s, proxy.ts: 410ms, application-code: 8.8s)
 HEAD / 200 in 14.2s (next.js: 5.0s, proxy.ts: 411ms, application-code: 8.8s)
 HEAD / 200 in 14.2s (next.js: 5.0s, proxy.ts: 413ms, application-code: 8.8s)
 HEAD / 200 in 13.0s (next.js: 4.2s, proxy.ts: 9ms, application-code: 8.8s)
 HEAD / 200 in 13.8s (next.js: 4.9s, proxy.ts: 67ms, application-code: 8.8s)
 HEAD / 200 in 13.8s (next.js: 4.9s, proxy.ts: 71ms, application-code: 8.8s)
 HEAD / 200 in 13.8s (next.js: 4.9s, proxy.ts: 70ms, application-code: 8.8s)
 HEAD / 200 in 13.8s (next.js: 4.9s, proxy.ts: 69ms, application-code: 8.8s)
 HEAD / 200 in 13.8s (next.js: 4.9s, proxy.ts: 74ms, application-code: 8.7s)
